eth_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-10-31T00:00:00.0000000Z,383.07,393.76,380.77,386.81,26835.3212676,7012
2020-11-01T00:00:00.0000000Z,386.62,397.47,385.07,396.8,25999.38277106,6915
2020-11-02T00:00:00.0000000Z,396.8,404.56,378.16,383.78,79339.27978363,14166
2020-11-03T00:00:00.0000000Z,383.43,390.41,371.0,388.01,50079.13337709,11596
2020-11-04T00:00:00.0000000Z,388.0,408.7,377.01,402.68,81570.47223324,16435
2020-11-05T00:00:00.0000000Z,402.88,421.64,396.5,417.04,93752.26026705,19453
2020-11-06T00:00:00.0000000Z,417.04,458.7,415.52,456.43,127405.10434135,27320
2020-11-07T00:00:00.0000000Z,456.58,468.83,425.0,435.81,126550.23729273,25264
2020-11-08T00:00:00.0000000Z,435.67,460.89,432.67,454.6,55139.62943266,14956
2020-11-09T00:00:00.0000000Z,454.47,459.63,434.63,444.33,88554.10900166,17698
2020-11-10T00:00:00.0000000Z,444.69,455.16,439.0,451.35,56222.79331997,12348
2020-11-11T00:00:00.0000000Z,451.59,476.57,450.02,464.39,80320.29059459,18222
2020-11-12T00:00:00.0000000Z,463.69,470.0,451.1,462.86,66051.36570621,14803
2020-11-13T00:00:00.0000000Z,463.11,478.48,458.0,477.06,75582.03793856,15724
2020-11-14T00:00:00.0000000Z,477.26,477.98,451.95,461.18,40209.50036342,10048
2020-11-15T00:00:00.0000000Z,461.38,463.14,440.44,448.49,46902.42886507,12723
2020-11-16T00:00:00.0000000Z,448.22,466.0,445.95,460.3,52597.71693786,13442
2020-11-17T00:00:00.0000000Z,460.73,484.9,460.29,482.89,90281.11548525,18539
2020-11-18T00:00:00.0000000Z,482.79,495.4,454.56,479.11,141414.53556178,25268
2020-11-19T00:00:00.0000000Z,479.26,481.99,465.2,471.97,48341.39008643,11706
2020-11-20T00:00:00.0000000Z,472.05,514.77,471.5,510.38,108562.01464759,25817
2020-11-21T00:00:00.0000000Z,510.37,553.5,502.72,552.55,91484.3681942,23067
2020-11-22T00:00:00.0000000Z,552.57,581.82,512.0,561.48,130535.84115627,31118
2020-11-23T00:00:00.0000000Z,560.88,611.58,550.62,609.09,152795.94377851,37270
2020-11-24T00:00:00.0000000Z,609.01,623.47,590.0,605.28,142593.05598567,35066
2020-11-25T00:00:00.0000000Z,605.28,606.63,554.0,569.52,96824.06931368,25562
2020-11-26T00:00:00.0000000Z,569.3,577.43,478.38,520.0,256478.12177121,55348
2020-11-27T00:00:00.0000000Z,520.29,530.99,493.44,518.8,85716.37826657,19685
2020-11-28T00:00:00.0000000Z,518.81,548.5,507.1,538.27,70883.44998355,19394
2020-11-29T00:00:00.0000000Z,538.01,576.9,530.75,576.22,71936.14069943,16754
2020-11-30T00:00:00.0000000Z,576.45,617.37,571.23,616.65,143554.41730771,31775
2020-12-01T00:00:00.0000000Z,616.84,636.58,555.71,586.38,192032.319087,40041
2020-12-02T00:00:00.0000000Z,586.01,605.34,575.2,597.74,61797.61399482,18279
2020-12-03T00:00:00.0000000Z,597.5,624.53,586.24,616.57,64949.20315428,16876
2020-12-04T00:00:00.0000000Z,616.57,620.57,565.62,567.79,88888.44328357,22907
