atom_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-09-27T00:00:00.0000000Z,2.2286,2.29,2.1563,2.2721,13502.75945046,162
2019-09-28T00:00:00.0000000Z,2.2711,2.3048,2.1851,2.2742,18384.51610021,243
2019-09-29T00:00:00.0000000Z,2.2866,2.2902,2.1024,2.2035,23332.41113625,213
2019-09-30T00:00:00.0000000Z,2.1922,2.6629,2.1753,2.6629,55710.65602232,588
2019-09-30T00:00:00.0000000Z,2.1922,2.6629,2.1753,2.6629,55710.65602232,588
2019-10-01T00:00:00.0000000Z,2.6146,2.6686,2.4935,2.5546,19631.85139347,393
2019-10-02T00:00:00.0000000Z,2.5409,2.6359,2.4334,2.62,85902.21627174,572
2019-10-03T00:00:00.0000000Z,2.58,2.678,2.5036,2.5985,41519.52556435,516
2019-10-04T00:00:00.0000000Z,2.5711,2.6254,2.4652,2.57,29884.90015355,242
2019-10-05T00:00:00.0000000Z,2.5661,2.78,2.5595,2.734,30281.39564765,304
2019-10-06T00:00:00.0000000Z,2.78,2.7914,2.5798,2.6398,49898.57482282,478
2019-10-07T00:00:00.0000000Z,2.6362,2.9494,2.5332,2.9006,97244.61802474,640
2019-10-08T00:00:00.0000000Z,2.9,3.062,2.8319,2.9068,42012.55531587,497
2019-10-09T00:00:00.0000000Z,2.89,3.0102,2.84,2.9032,55472.54769075,435
2019-10-10T00:00:00.0000000Z,2.9082,2.9949,2.741,2.8896,85697.16660561,543
2019-10-11T00:00:00.0000000Z,2.8991,2.9272,2.74,2.8065,37732.89430141,506
2019-10-12T00:00:00.0000000Z,2.8212,2.8485,2.78,2.8309,8019.88542854,146
2019-10-13T00:00:00.0000000Z,2.8368,2.9018,2.7877,2.866,24628.72667374,237
2019-10-14T00:00:00.0000000Z,2.8742,3.1062,2.8721,3.1034,58086.87190447,488
2019-10-15T00:00:00.0000000Z,3.09,3.1476,2.8957,2.925,37615.88795235,421
2019-10-16T00:00:00.0000000Z,2.9186,2.9288,2.6922,2.8315,46405.83631319,422
2019-10-17T00:00:00.0000000Z,2.82,2.9469,2.7508,2.911,26856.37256042,209
2019-10-18T00:00:00.0000000Z,2.911,2.911,2.6667,2.7398,60623.17162698,374
2019-10-19T00:00:00.0000000Z,2.7453,2.7922,2.7076,2.7425,43566.16418853,282
2019-10-20T00:00:00.0000000Z,2.7345,2.9285,2.6853,2.8948,17669.84541119,221
2019-10-21T00:00:00.0000000Z,2.9032,2.99,2.842,2.9818,14722.1992987,291
2019-10-22T00:00:00.0000000Z,2.9625,3.003,2.8414,2.8614,12035.82001229,246
2019-10-23T00:00:00.0000000Z,2.8656,2.8897,2.5416,2.6806,80237.00054824,591
2019-10-24T00:00:00.0000000Z,2.6897,2.971,2.6484,2.8338,20421.05450901,194
2019-10-25T00:00:00.0000000Z,2.821,3.1186,2.0302,3.029,412541.36328627,1890
2019-10-26T00:00:00.0000000Z,3.0448,3.25,3.0,3.0718,125901.37759987,1061
2019-10-27T00:00:00.0000000Z,3.1181,3.2814,2.9742,3.2174,30387.28106929,290
2019-10-28T00:00:00.0000000Z,3.2276,3.3355,3.0831,3.11,26719.33980342,273
2019-10-29T00:00:00.0000000Z,3.1129,3.195,3.0636,3.1685,18877.93796554,203
2019-10-30T00:00:00.0000000Z,3.1659,3.1951,2.9603,3.0089,55682.89552523,402
2019-10-31T00:00:00.0000000Z,3.0196,3.3038,3.0127,3.2752,80995.63857189,529
2019-11-01T00:00:00.0000000Z,3.2,3.306,3.17,3.2885,14955.25130376,113
2019-11-02T00:00:00.0000000Z,3.2872,3.46,3.2623,3.4238,13672.49518227,139
2019-11-03T00:00:00.0000000Z,3.4491,3.4491,3.3,3.3957,5015.41754005,84
2019-11-04T00:00:00.0000000Z,3.3527,3.6355,3.3194,3.6148,59120.83953263,671
