aave_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-16T00:00:00.0000000Z,456.12,478.08,422.74,432.76,6375.75762058,2936
2021-02-17T00:00:00.0000000Z,432.5,468.16,399.4,450.76,26081.42992683,5249
2021-02-18T00:00:00.0000000Z,452.53,480.0,434.76,442.57,15103.06904625,3437
2021-02-19T00:00:00.0000000Z,444.69,448.1,405.75,420.0,13809.78617165,5142
2021-02-20T00:00:00.0000000Z,420.56,497.99,407.54,445.63,24411.28772641,8205
2021-02-21T00:00:00.0000000Z,440.89,454.46,425.72,435.74,6743.72917098,2602
2021-02-22T00:00:00.0000000Z,437.77,448.24,353.37,399.95,18618.71629432,5874
2021-02-23T00:00:00.0000000Z,400.53,402.35,289.0,363.51,27974.00629997,7156
2021-02-24T00:00:00.0000000Z,363.75,406.15,340.0,367.52,13238.86955753,3458
2021-02-25T00:00:00.0000000Z,367.99,387.95,335.0,337.6,6522.91467347,1865
2021-02-26T00:00:00.0000000Z,338.46,353.61,303.99,322.6,8265.10590144,2402
2021-02-27T00:00:00.0000000Z,324.88,349.53,324.58,335.49,5446.2820803,1417
2021-02-28T00:00:00.0000000Z,335.38,366.04,301.35,350.46,9191.0090729,2081
2021-03-01T00:00:00.0000000Z,353.89,389.0,352.22,386.13,11617.23655752,2553
2021-03-02T00:00:00.0000000Z,385.3,417.0,375.13,390.8,11082.20643456,2801
2021-03-03T00:00:00.0000000Z,391.0,419.0,385.0,396.92,5502.01439356,1694
2021-03-04T00:00:00.0000000Z,395.0,410.1,366.01,374.96,4175.84890122,1466
2021-03-05T00:00:00.0000000Z,373.93,377.74,341.2,367.3,5481.39564083,1561
2021-03-06T00:00:00.0000000Z,369.12,391.44,352.19,388.35,3398.42088891,1049
2021-03-07T00:00:00.0000000Z,390.92,419.0,384.27,414.27,5695.67981728,1819
2021-03-08T00:00:00.0000000Z,415.56,437.28,392.77,437.23,6300.11768524,1990
2021-03-09T00:00:00.0000000Z,436.73,450.0,417.59,444.57,6230.22640527,1815
2021-03-10T00:00:00.0000000Z,446.0,458.58,399.98,407.08,5941.81997568,1899
2021-03-11T00:00:00.0000000Z,405.81,415.0,388.66,405.22,4909.85896429,1389
2021-03-12T00:00:00.0000000Z,406.11,406.11,361.57,373.71,7887.15045293,1886
2021-03-13T00:00:00.0000000Z,371.41,427.61,360.3,414.16,7430.93127891,2359
2021-03-14T00:00:00.0000000Z,415.16,417.31,377.92,380.44,5027.71425922,1494
2021-03-15T00:00:00.0000000Z,380.01,389.04,355.7,367.5,8458.16867648,1557
2021-03-16T00:00:00.0000000Z,368.0,376.28,351.31,369.69,5693.07698039,1325
2021-03-17T00:00:00.0000000Z,370.19,383.53,358.32,382.62,4241.12472874,1324
2021-03-18T00:00:00.0000000Z,384.0,384.47,361.1,363.74,7652.0230234,1593
2021-03-19T00:00:00.0000000Z,362.52,379.06,353.61,369.82,3628.04534493,1121
2021-03-20T00:00:00.0000000Z,368.78,396.0,368.39,369.62,3515.58456614,1238
2021-03-21T00:00:00.0000000Z,369.7,376.14,359.45,367.46,1337.61367068,580
2021-03-22T00:00:00.0000000Z,367.67,371.08,333.0,336.17,5012.66534524,1292
2021-03-23T00:00:00.0000000Z,335.5,345.45,327.23,330.75,4547.17830854,1113
2021-03-24T00:00:00.0000000Z,330.5,348.31,297.71,308.92,7813.95001439,1693
2021-03-25T00:00:00.0000000Z,307.04,333.23,299.14,326.14,6206.53950678,1291
2021-03-26T00:00:00.0000000Z,325.93,360.93,325.93,359.0,3583.17058936,1159
2021-03-27T00:00:00.0000000Z,359.0,362.1,340.48,351.39,1874.39977446,695
2021-03-28T00:00:00.0000000Z,352.41,356.48,332.62,347.96,1716.58786057,732
2021-03-29T00:00:00.0000000Z,345.95,367.81,343.7,361.26,2449.54598088,1007
2021-03-30T00:00:00.0000000Z,360.89,382.79,353.6,377.25,3968.82816912,1323
2021-03-31T00:00:00.0000000Z,377.99,392.5,358.27,382.85,5138.34190903,2180
2021-04-01T00:00:00.0000000Z,384.01,392.36,371.06,382.53,3337.5817326,1340
2021-04-02T00:00:00.0000000Z,383.08,421.99,377.97,420.79,7294.19581706,2354
2021-04-03T00:00:00.0000000Z,420.66,424.97,377.42,379.15,4671.88437256,1961
2021-04-04T00:00:00.0000000Z,379.1,412.03,372.68,403.9,3562.61082436,1215
2021-04-05T00:00:00.0000000Z,405.53,408.0,383.66,397.3,3410.66052692,1294
2021-04-06T00:00:00.0000000Z,398.13,413.97,380.0,383.58,6142.74634638,2472
2021-04-07T00:00:00.0000000Z,384.2,387.71,341.45,347.81,10894.05888703,2408
2021-04-08T00:00:00.0000000Z,349.02,370.23,346.14,370.23,2739.44628733,968
2021-04-09T00:00:00.0000000Z,370.93,373.43,357.2,358.78,1781.5413825,726
2021-04-10T00:00:00.0000000Z,359.47,368.94,356.23,367.91,200.3734396,121
