ant_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-10T00:00:00.0000000Z,5.4075,5.4748,5.0657,5.1745,16120.75937758,296
2021-03-11T00:00:00.0000000Z,5.1291,5.2427,4.9158,5.1119,10285.68108304,349
2021-03-12T00:00:00.0000000Z,5.1251,6.0487,5.0051,6.0041,46095.99669911,1067
2021-03-13T00:00:00.0000000Z,5.9429,5.9429,5.5151,5.6291,24205.85335337,622
2021-03-14T00:00:00.0000000Z,5.6242,6.059,5.4903,5.8529,24748.89674017,587
2021-03-15T00:00:00.0000000Z,5.8212,7.3,5.3158,6.7918,107046.37451423,1511
2021-03-16T00:00:00.0000000Z,6.8021,7.783,6.3958,6.8034,119321.90197522,2205
2021-03-17T00:00:00.0000000Z,6.9052,6.9907,6.338,6.8268,49226.39923308,957
2021-03-18T00:00:00.0000000Z,6.83,6.8977,6.4794,6.7135,40614.35403257,753
2021-03-19T00:00:00.0000000Z,6.729,7.3717,6.5428,7.03,47088.98298103,978
2021-03-20T00:00:00.0000000Z,7.1247,7.8,7.021,7.0626,52438.73819009,874
2021-03-21T00:00:00.0000000Z,7.06,7.53,6.6691,7.2095,17844.3421397,480
2021-03-22T00:00:00.0000000Z,7.21,7.7139,6.7194,6.774,25267.64512267,594
2021-03-23T00:00:00.0000000Z,6.75,6.9391,6.2327,6.4541,29135.14180897,506
2021-03-24T00:00:00.0000000Z,6.458,10.0,6.22,8.2091,162080.29893989,3006
2021-03-25T00:00:00.0000000Z,8.2573,14.0,8.08,10.135,389663.95567943,6792
2021-03-26T00:00:00.0000000Z,10.25,13.45,9.6026,9.9,137288.62847521,2628
2021-03-27T00:00:00.0000000Z,9.9146,10.6455,9.2877,10.0502,91813.36372605,1433
2021-03-28T00:00:00.0000000Z,10.0128,10.1819,9.1274,9.2753,37767.45914392,888
2021-03-29T00:00:00.0000000Z,9.2612,9.8853,9.0547,9.3271,52865.27895547,845
2021-03-30T00:00:00.0000000Z,9.3256,14.0,9.3256,11.794,268755.57159005,4687
2021-03-31T00:00:00.0000000Z,11.7649,11.87,10.5482,10.8508,110549.43890964,2029
2021-04-01T00:00:00.0000000Z,10.838,12.604,10.5001,11.8206,130240.28830878,2217
2021-04-02T00:00:00.0000000Z,11.7975,13.6,11.4103,11.6904,103671.8979107,1766
2021-04-03T00:00:00.0000000Z,11.724,12.405,10.6111,10.689,65589.83281621,1130
2021-04-04T00:00:00.0000000Z,10.689,11.8607,10.522,11.3751,24388.76660453,757
2021-04-05T00:00:00.0000000Z,11.3485,13.282,11.3219,13.0527,59831.13747474,1597
2021-04-06T00:00:00.0000000Z,13.1037,14.6998,12.2939,12.5114,101620.74101096,2255
2021-04-07T00:00:00.0000000Z,12.6097,12.85,10.4805,11.11,133523.88438323,1855
2021-04-08T00:00:00.0000000Z,11.0913,12.3369,8.0,12.0878,60195.49901836,1191
2021-04-09T00:00:00.0000000Z,12.1043,12.9597,11.6085,12.2024,37665.20939674,1049
2021-04-10T00:00:00.0000000Z,12.2155,12.2551,11.873,11.9386,1717.58593536,56
2021-04-11T00:00:00.0000000Z,11.6458,11.6458,10.8585,11.2698,23496.240567,644
2021-04-12T00:00:00.0000000Z,11.2131,12.0,10.2486,10.532,53264.25708393,996
2021-04-13T00:00:00.0000000Z,10.5971,11.2892,10.1981,11.0323,64474.95511032,917
2021-04-14T00:00:00.0000000Z,11.0179,11.1494,10.0,10.4155,91669.53935265,1341
2021-04-15T00:00:00.0000000Z,10.4735,11.1401,10.2939,10.8865,74190.76742781,1087
2021-04-16T00:00:00.0000000Z,11.2039,11.2151,10.0,10.2879,117816.83097277,1542
2021-04-17T00:00:00.0000000Z,10.3944,10.8995,10.2,10.3601,88393.60352133,1252
2021-04-19T00:00:00.0000000Z,8.9164,10.6579,7.7867,8.0469,101385.02420975,1435
2021-04-20T00:00:00.0000000Z,8.05,8.99,7.3598,8.1517,113017.91305869,1672
2021-04-21T00:00:00.0000000Z,8.4,9.6137,8.1807,8.6243,50561.61236326,1062
