xtz_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-03T00:00:00.0000000Z,2.0082,2.2289,1.9551,2.1318,2052356.65497848,4219
2021-01-04T00:00:00.0000000Z,2.1404,2.365,2.0126,2.333,1840227.35905267,5657
2021-01-05T00:00:00.0000000Z,2.333,2.4623,2.143,2.3776,1000968.08145548,3198
2021-01-06T00:00:00.0000000Z,2.3875,2.7417,2.3,2.6511,1240457.05186191,3919
2021-01-07T00:00:00.0000000Z,2.6527,2.7954,2.43,2.53,1211825.89638997,3586
2021-01-09T00:00:00.0000000Z,2.4632,2.6962,2.4198,2.6445,561463.14329162,2103
2021-01-10T00:00:00.0000000Z,2.6576,2.95,2.4002,2.7589,1753953.51292391,5320
2021-01-11T00:00:00.0000000Z,2.7601,2.7664,2.103,2.3312,1675542.98096476,5089
2021-01-12T00:00:00.0000000Z,2.3277,2.4491,2.1973,2.2798,658786.99640626,2596
2021-01-13T00:00:00.0000000Z,2.2952,2.5012,2.2304,2.5012,760534.36537245,1968
2021-01-14T00:00:00.0000000Z,2.5032,2.6138,2.404,2.55,862181.44859732,1987
2021-01-15T00:00:00.0000000Z,2.5485,2.9,2.4654,2.71,1777602.96183018,4480
2021-01-16T00:00:00.0000000Z,2.7069,3.1804,2.7,2.8607,2750000.40416112,6313
2021-01-17T00:00:00.0000000Z,2.8329,3.11,2.6896,2.9667,1081907.74703136,3063
2021-01-18T00:00:00.0000000Z,2.9745,3.1129,2.8476,3.0267,664384.80916698,1959
2021-01-19T00:00:00.0000000Z,3.0366,3.215,2.878,2.8797,1144029.16990468,3003
2021-01-20T00:00:00.0000000Z,2.8759,2.947,2.6426,2.9133,1004766.63401102,2454
2021-01-21T00:00:00.0000000Z,2.9262,2.9308,2.4257,2.4536,864519.10575199,2562
2021-01-22T00:00:00.0000000Z,2.4557,3.116,2.3019,2.9135,1989953.07466515,5265
2021-01-23T00:00:00.0000000Z,2.91,3.3969,2.8147,3.169,2722550.86821903,6040
2021-01-24T00:00:00.0000000Z,3.1614,3.2926,2.9171,3.0439,774400.3864241,2776
2021-01-25T00:00:00.0000000Z,3.0452,3.1778,2.9017,2.9237,769456.47954748,2212
2021-01-26T00:00:00.0000000Z,2.9154,3.0092,2.7588,2.9052,680923.64945223,1829
2021-01-27T00:00:00.0000000Z,2.903,2.9397,2.63,2.8019,1069298.90688603,2981
2021-01-28T00:00:00.0000000Z,2.792,3.0848,2.7273,3.0032,1311356.70449823,2976
2021-01-29T00:00:00.0000000Z,3.0099,3.0594,2.82,2.9163,709180.62242909,2458
2021-01-30T00:00:00.0000000Z,2.9177,3.0206,2.81,2.8943,793564.5591151,2029
2021-01-31T00:00:00.0000000Z,2.9101,2.9479,2.7345,2.8397,548383.32234061,1739
2021-02-01T00:00:00.0000000Z,2.8275,2.933,2.7607,2.92,458504.39458833,1675
2021-02-02T00:00:00.0000000Z,2.92,2.9772,2.8363,2.9099,551131.8748854,1622
2021-02-03T00:00:00.0000000Z,2.9195,3.18,2.8912,3.0502,898698.09477561,2836
2021-02-04T00:00:00.0000000Z,3.0538,3.1725,2.8566,2.9636,1315004.47636685,3718
2021-02-05T00:00:00.0000000Z,2.97,3.5189,2.9604,3.4758,2260468.37282301,5860
2021-02-06T00:00:00.0000000Z,3.4759,3.5128,3.0936,3.175,1150392.26426741,3366
2021-02-07T00:00:00.0000000Z,3.1779,3.46,3.0623,3.3136,975541.34854509,3847
2021-02-08T00:00:00.0000000Z,3.3078,3.4359,3.2405,3.4098,1047213.07052391,2720
2021-02-09T00:00:00.0000000Z,3.4223,3.8773,3.1936,3.7706,2319348.68069671,5968
2021-02-10T00:00:00.0000000Z,3.7942,3.9,3.46,3.8468,1578071.22510316,4689
2021-02-11T00:00:00.0000000Z,3.8452,4.3172,3.8073,4.1134,2050057.89584025,6226
2021-02-12T00:00:00.0000000Z,4.1248,5.4324,4.0147,5.0118,3446699.80050751,10085
2021-02-13T00:00:00.0000000Z,5.0201,5.5,4.6,5.3736,2150281.83423231,5925
2021-02-14T00:00:00.0000000Z,5.3774,5.64,4.7203,4.8611,1506726.37377099,4453
