bal_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-12T00:00:00.0000000Z,70.77,73.14,60.54,60.81,27067.59538898,1616
2021-05-13T00:00:00.0000000Z,60.81,68.62,56.16,59.97,32663.04671343,1587
2021-05-14T00:00:00.0000000Z,59.96,66.73,59.63,63.51,6637.56493703,504
2021-05-15T00:00:00.0000000Z,63.91,64.25,56.0,56.63,9252.39158266,486
2021-05-16T00:00:00.0000000Z,56.17,59.59,50.73,54.2,22840.65511294,955
2021-05-17T00:00:00.0000000Z,54.1,54.1,47.26,48.78,15973.07757806,886
2021-05-18T00:00:00.0000000Z,48.73,53.52,48.73,49.26,7249.92909657,581
2021-05-19T00:00:00.0000000Z,49.48,50.81,23.91,33.96,56559.35230108,4146
2021-05-20T00:00:00.0000000Z,34.59,41.37,29.82,38.41,14543.63583754,1380
2021-05-21T00:00:00.0000000Z,38.57,40.47,28.7,32.26,9450.91098302,1004
2021-05-22T00:00:00.0000000Z,32.64,33.3,28.63,29.97,11566.99232422,483
2021-05-23T00:00:00.0000000Z,29.7,30.8,21.39,25.44,18009.84334471,1069
2021-05-24T00:00:00.0000000Z,25.74,32.09,25.31,31.76,17349.15469465,826
2021-05-25T00:00:00.0000000Z,31.61,33.02,28.38,31.68,28950.29938215,884
2021-05-26T00:00:00.0000000Z,31.83,33.94,31.31,33.94,37351.74896037,651
2021-05-27T00:00:00.0000000Z,33.96,34.0,30.91,31.6,17310.80107237,281
2021-05-28T00:00:00.0000000Z,31.32,31.52,27.4,28.36,47795.06850406,1111
2021-05-29T00:00:00.0000000Z,28.2,30.04,26.01,27.04,55833.6461766,774
2021-05-30T00:00:00.0000000Z,26.43,28.69,25.49,27.67,6877.75630574,274
2021-05-31T00:00:00.0000000Z,27.6,31.09,26.52,31.09,31377.85642001,349
2021-06-01T00:00:00.0000000Z,30.76,31.14,28.14,29.03,2978.92062996,173
2021-06-02T00:00:00.0000000Z,29.16,31.68,28.4,30.77,5707.20012435,242
2021-06-03T00:00:00.0000000Z,30.45,32.21,30.06,31.74,3271.6079952,178
2021-06-04T00:00:00.0000000Z,31.67,31.67,28.19,29.18,7303.69108223,268
2021-06-05T00:00:00.0000000Z,29.35,30.52,27.21,28.33,14179.59638132,276
2021-06-06T00:00:00.0000000Z,28.51,29.38,28.4,29.13,10580.90198112,229
2021-06-07T00:00:00.0000000Z,29.35,30.78,26.79,27.09,4021.72294505,220
2021-06-08T00:00:00.0000000Z,27.11,27.46,23.6,25.41,9040.53184862,305
2021-06-09T00:00:00.0000000Z,25.1,26.5,23.99,26.12,10508.71742181,211
2021-06-10T00:00:00.0000000Z,26.16,26.16,24.3,24.69,9485.19248126,233
2021-06-11T00:00:00.0000000Z,24.25,24.49,22.8,23.02,3439.44987154,131
2021-06-12T00:00:00.0000000Z,22.77,23.39,21.69,22.88,3524.7786356,175
2021-06-13T00:00:00.0000000Z,22.46,24.02,22.0,23.83,12127.72412555,281
2021-06-14T00:00:00.0000000Z,23.83,24.74,23.38,23.94,4702.55492998,137
2021-06-15T00:00:00.0000000Z,24.45,25.16,23.72,24.09,4709.70490271,155
2021-06-16T00:00:00.0000000Z,23.68,24.02,22.18,22.18,11862.17513541,203
2021-06-17T00:00:00.0000000Z,22.3,23.3,21.77,22.31,18645.64267027,276
2021-06-18T00:00:00.0000000Z,22.25,22.25,18.79,19.64,20921.12388943,446
2021-06-19T00:00:00.0000000Z,19.73,20.12,18.78,18.86,43088.45759162,662
2021-06-20T00:00:00.0000000Z,18.72,19.58,17.53,19.54,27915.62550213,520
2021-06-21T00:00:00.0000000Z,19.22,19.36,15.18,15.5,46505.97386206,921
2021-06-22T00:00:00.0000000Z,15.5,17.08,13.67,16.45,65686.54614085,1375
2021-06-23T00:00:00.0000000Z,16.12,17.72,16.04,16.84,6100.36274981,167
2021-06-24T00:00:00.0000000Z,16.93,18.16,16.25,17.98,14082.01389097,299
2021-06-25T00:00:00.0000000Z,18.21,18.22,15.86,16.23,9445.86807125,205
2021-06-26T00:00:00.0000000Z,16.1,16.3,14.63,15.06,35640.39262207,464
2021-06-27T00:00:00.0000000Z,15.07,16.43,14.96,16.43,8308.74376546,122
2021-06-28T00:00:00.0000000Z,16.33,19.5,16.33,18.75,9445.15464739,351
2021-06-29T00:00:00.0000000Z,18.79,21.64,18.79,20.42,9289.85535943,430
2021-06-30T00:00:00.0000000Z,20.27,22.37,19.26,22.13,18774.42620894,638
2021-07-01T00:00:00.0000000Z,22.0,22.0,19.67,20.32,14656.04999652,308
2021-07-02T00:00:00.0000000Z,20.03,21.31,19.3,21.17,4834.28733967,273
2021-07-03T00:00:00.0000000Z,21.3,22.99,20.94,22.44,5302.08068446,193
2021-07-04T00:00:00.0000000Z,22.42,25.91,22.12,25.25,42617.51323214,825
2021-07-05T00:00:00.0000000Z,25.0,25.57,23.66,24.47,19198.50593286,445
2021-07-06T00:00:00.0000000Z,24.76,26.35,24.57,24.89,16971.21357148,367
2021-07-07T00:00:00.0000000Z,24.8,25.52,24.3,24.36,20028.78038783,491
2021-07-08T00:00:00.0000000Z,24.4,24.45,21.62,21.9,42055.00092349,713
2021-07-09T00:00:00.0000000Z,21.78,22.8,21.56,22.53,2529.84476183,130
2021-07-10T00:00:00.0000000Z,22.8,22.85,21.57,21.97,2889.50944797,81
2021-07-11T00:00:00.0000000Z,21.98,22.34,21.5,21.98,1861.23327802,70
2021-07-12T00:00:00.0000000Z,21.99,23.03,20.51,20.81,5544.26659417,217
2021-07-13T00:00:00.0000000Z,20.7,20.95,19.7,19.88,2767.74404715,130
2021-07-14T00:00:00.0000000Z,19.9,20.14,18.62,19.94,6385.80241571,238
2021-07-15T00:00:00.0000000Z,19.75,20.21,18.65,18.97,14479.76284769,215
2021-07-16T00:00:00.0000000Z,18.98,19.2,17.6,17.6,25615.81343121,460
2021-07-17T00:00:00.0000000Z,17.51,18.21,17.39,17.8,16657.15211818,253
2021-07-18T00:00:00.0000000Z,18.06,20.33,18.04,18.2,5372.27768674,293
2021-07-19T00:00:00.0000000Z,18.21,18.24,16.95,16.95,1088.76934132,103
2021-07-20T00:00:00.0000000Z,17.04,17.24,15.91,16.08,1383.15234774,110
2021-07-21T00:00:00.0000000Z,15.81,18.15,15.74,17.49,3189.32594114,163
2021-07-22T00:00:00.0000000Z,17.55,18.39,17.29,17.95,22148.46985821,495
2021-07-23T00:00:00.0000000Z,18.18,18.61,17.53,18.61,1239.16206398,91
2021-07-24T00:00:00.0000000Z,18.64,19.45,18.46,19.25,18380.82798146,492
2021-07-25T00:00:00.0000000Z,19.3,19.3,18.2,19.09,2455.36651378,96
2021-07-26T00:00:00.0000000Z,19.19,21.5,19.19,19.64,7211.36095781,398
