ethc_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-11-17T00:00:00.0000000Z,5.399,5.946,5.399,5.748,40508.58226769,988
2020-11-18T00:00:00.0000000Z,5.808,6.3,5.278,6.074,108873.43148628,2317
2020-11-19T00:00:00.0000000Z,6.073,6.153,5.734,5.918,16299.35580053,765
2020-11-20T00:00:00.0000000Z,5.958,6.114,5.81,6.082,25867.09963425,621
2020-11-21T00:00:00.0000000Z,6.082,6.583,5.814,6.56,44997.71723107,1404
2020-11-22T00:00:00.0000000Z,6.589,6.7,5.684,6.025,281115.32971505,2937
2020-11-23T00:00:00.0000000Z,6.06,6.583,5.885,6.583,41035.9301814,1293
2020-11-24T00:00:00.0000000Z,6.576,7.48,6.477,7.284,91652.74824776,3278
2020-11-25T00:00:00.0000000Z,7.309,7.956,6.61,6.981,75782.68171136,3299
2020-11-26T00:00:00.0000000Z,6.933,7.12,5.602,6.128,95954.8543166,3656
2020-11-27T00:00:00.0000000Z,6.13,6.452,5.934,6.219,28303.93054087,1160
2020-11-28T00:00:00.0000000Z,6.189,6.648,6.1,6.331,36763.13103417,990
2020-11-29T00:00:00.0000000Z,6.328,6.438,6.183,6.391,18882.80552845,571
2020-11-30T00:00:00.0000000Z,6.396,6.786,6.303,6.719,18271.26169448,983
2020-12-01T00:00:00.0000000Z,6.727,6.99,6.017,6.184,39541.0607723,1151
2020-12-02T00:00:00.0000000Z,6.15,6.362,6.025,6.236,13382.87240253,676
2020-12-03T00:00:00.0000000Z,6.246,6.59,6.205,6.572,23719.73035652,785
2020-12-04T00:00:00.0000000Z,6.567,6.567,5.91,6.035,13180.52386451,665
2020-12-05T00:00:00.0000000Z,5.97,6.193,5.893,6.178,11765.96799612,598
2020-12-06T00:00:00.0000000Z,6.201,6.274,6.041,6.18,3879.54153518,278
2020-12-07T00:00:00.0000000Z,6.168,6.21,6.087,6.148,3694.66475441,314
2020-12-08T00:00:00.0000000Z,6.131,6.138,5.7,5.775,30971.90968004,907
2020-12-09T00:00:00.0000000Z,5.775,6.22,5.629,6.059,45441.2963605,1561
2020-12-10T00:00:00.0000000Z,6.062,6.112,5.806,5.913,8649.26913349,349
2020-12-11T00:00:00.0000000Z,5.863,5.953,5.579,5.789,6136.35760416,473
2020-12-12T00:00:00.0000000Z,5.776,6.036,5.776,5.972,9898.98541413,433
2020-12-13T00:00:00.0000000Z,5.971,6.24,5.918,6.104,18170.28393432,609
2020-12-14T00:00:00.0000000Z,6.105,6.141,5.944,6.028,5174.42416354,529
2020-12-15T00:00:00.0000000Z,6.023,6.129,5.86,6.071,43734.30921759,594
2020-12-16T00:00:00.0000000Z,6.036,6.452,5.94,6.452,19218.72477517,774
2020-12-17T00:00:00.0000000Z,6.457,6.856,6.331,6.498,26645.45005133,1659
2020-12-18T00:00:00.0000000Z,6.448,6.448,6.301,6.381,3368.79558396,202
2020-12-19T00:00:00.0000000Z,6.408,6.561,6.38,6.443,6949.89608025,460
2020-12-20T00:00:00.0000000Z,6.437,6.816,6.257,6.505,15539.31482015,1148
