usdt_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-11-22T00:00:00.0000000Z,1.0006,1.002,0.9999,1.001,20001388.56126369,27978
2020-11-23T00:00:00.0000000Z,1.0011,1.0012,1.0002,1.0007,39176350.51150378,36331
2020-11-24T00:00:00.0000000Z,1.0007,1.009,1.0,1.0007,48317278.23571704,58252
2020-11-25T00:00:00.0000000Z,1.0007,1.05,0.9998,1.0001,40940912.16326477,37827
2020-11-26T00:00:00.0000000Z,1.0001,1.0042,0.9981,1.0008,42899470.5813359,57564
2020-11-27T00:00:00.0000000Z,1.0008,1.0013,0.9992,1.0004,29549292.43447304,27401
2020-11-28T00:00:00.0000000Z,1.0004,1.0018,1.0003,1.0007,18340262.24317265,18039
2020-11-29T00:00:00.0000000Z,1.0007,1.0013,1.0003,1.0009,13194720.96502055,15252
2020-11-30T00:00:00.0000000Z,1.0009,1.0012,0.9988,1.0005,45268915.87947802,33976
2020-12-01T00:00:00.0000000Z,1.0007,1.0022,0.9995,1.0008,48125768.09842639,37342
2020-12-02T00:00:00.0000000Z,1.0009,1.0009,0.9997,1.0007,46748843.38630075,26514
2020-12-03T00:00:00.0000000Z,1.0006,1.0012,1.0001,1.0007,55082993.71100185,24811
2020-12-04T00:00:00.0000000Z,1.0007,1.0012,0.9999,1.0002,46683675.571895,32849
2020-12-05T00:00:00.0000000Z,1.0002,1.0012,1.0001,1.0004,14412272.85518112,14599
2020-12-06T00:00:00.0000000Z,1.0004,1.0009,1.0002,1.0006,11535610.01670014,23240
2020-12-07T00:00:00.0000000Z,1.0006,1.0011,0.9996,1.0003,38602740.03843234,20551
2020-12-08T00:00:00.0000000Z,1.0004,1.0004,0.998,0.9993,49839739.13041226,23392
2020-12-09T00:00:00.0000000Z,0.9992,1.002,0.9989,1.0003,64887651.46923217,32747
2020-12-10T00:00:00.0000000Z,1.0002,1.0004,0.999,1.0001,47579783.74198532,27644
2020-12-11T00:00:00.0000000Z,1.0,1.0005,0.999,1.0,54824184.89321811,34754
2020-12-12T00:00:00.0000000Z,1.0,1.0009,0.9997,1.0004,12435503.86953654,13608
2020-12-13T00:00:00.0000000Z,1.0005,1.0009,0.9993,0.9993,16715287.31804948,14626
2020-12-14T00:00:00.0000000Z,0.9993,1.0,0.9991,0.9997,29361017.16696065,12976
2020-12-15T00:00:00.0000000Z,0.9997,1.0007,0.9995,1.0003,35458005.48000382,21081
2020-12-16T00:00:00.0000000Z,1.0004,1.003,0.9998,1.001,64590142.32104292,40059
2020-12-17T00:00:00.0000000Z,1.001,1.0012,0.9986,1.0004,115722769.5939083,66686
2020-12-18T00:00:00.0000000Z,1.0003,1.0012,0.9999,1.001,15267356.2972281,9966
2020-12-19T00:00:00.0000000Z,1.001,1.0018,1.0004,1.001,25311836.77288818,22210
2020-12-20T00:00:00.0000000Z,1.0011,1.0015,1.0,1.0007,32291960.87136093,29934
2020-12-21T00:00:00.0000000Z,1.0007,1.0075,0.9987,1.0,75528149.83910322,47285
2020-12-22T00:00:00.0000000Z,1.0001,1.0007,0.999,1.0001,56582707.69519341,44543
2020-12-23T00:00:00.0000000Z,1.0001,1.0007,0.9982,0.9999,51472460.97611992,55612
2020-12-24T00:00:00.0000000Z,0.9999,1.0016,0.999,0.9998,40358543.85118238,37908
2020-12-25T00:00:00.0000000Z,0.9998,1.0004,0.999,0.9998,24815880.15245537,32837
2020-12-26T00:00:00.0000000Z,0.9998,1.0004,0.9987,0.9992,25784132.27888273,28668
2020-12-27T00:00:00.0000000Z,0.9993,0.9997,0.9969,0.9987,36911913.88251822,43110
2020-12-28T00:00:00.0000000Z,0.9988,1.0,0.9976,0.9982,48445050.73085926,52366
2020-12-29T00:00:00.0000000Z,0.9982,0.9999,0.9916,0.9991,58646052.77510322,58595
2020-12-30T00:00:00.0000000Z,0.9991,1.0007,0.9982,1.0005,56357343.45598285,46326
2020-12-31T00:00:00.0000000Z,1.0005,1.0013,0.9989,1.001,68001406.55793858,35861
2021-01-01T00:00:00.0000000Z,1.0011,1.0067,0.9997,1.0024,102956384.27175786,38477
2021-01-02T00:00:00.0000000Z,1.0024,1.0028,0.9975,1.0009,79821757.05124234,55852
2021-01-03T00:00:00.0000000Z,1.0009,1.0039,0.9997,1.0013,73120815.1583452,80836
2021-01-04T00:00:00.0000000Z,1.0013,1.0066,0.9985,1.0007,102381575.57987939,104714
2021-01-05T00:00:00.0000000Z,1.0007,1.004,1.0,1.0028,66540036.51732137,55330
2021-01-06T00:00:00.0000000Z,1.0029,1.004,1.0,1.0022,124314120.2283793,66372
2021-01-07T00:00:00.0000000Z,1.0022,1.004,1.0,1.0012,99084748.88826546,84646
2021-01-09T00:00:00.0000000Z,1.0011,1.0042,0.999,1.0038,81140223.7573094,40279
2021-01-10T00:00:00.0000000Z,1.0038,1.0038,0.998,1.0,91532245.54688989,72861
2021-01-11T00:00:00.0000000Z,1.0,1.002,0.995,1.0008,104927397.72876257,86464
2021-01-12T00:00:00.0000000Z,1.0008,1.0019,0.996,0.9998,91501011.81457563,75779
2021-01-13T00:00:00.0000000Z,0.9997,1.0006,0.9961,1.0003,65583554.50420447,51140
2021-01-14T00:00:00.0000000Z,1.0004,1.001,0.9983,0.9989,57025271.57982705,44044
2021-01-15T00:00:00.0000000Z,0.9988,1.0005,0.9978,1.0,60130917.27694546,43653
2021-01-16T00:00:00.0000000Z,1.0001,1.0015,0.9994,0.9998,42340136.27236929,42953
2021-01-17T00:00:00.0000000Z,0.9998,1.0022,0.995,0.9997,44622874.32602197,33841
2021-01-18T00:00:00.0000000Z,0.9997,1.0009,0.9992,1.0001,44018848.34376612,35390
2021-01-19T00:00:00.0000000Z,1.0001,1.0035,0.9994,1.0005,77703381.50949761,47786
2021-01-20T00:00:00.0000000Z,1.0006,1.0042,0.9992,1.0007,68449658.998435,53676
2021-01-21T00:00:00.0000000Z,1.0007,1.0007,0.9967,0.9991,80132934.7373504,58255
2021-01-22T00:00:00.0000000Z,0.9993,1.0021,0.9954,1.0007,89463668.1766533,59575
2021-01-23T00:00:00.0000000Z,1.0008,1.0015,1.0004,1.0008,28725872.39530067,22141
2021-01-24T00:00:00.0000000Z,1.0008,1.0014,1.0001,1.001,27440228.48135349,19979
2021-01-25T00:00:00.0000000Z,1.0011,1.0046,0.9993,1.0001,64696875.533103,39948
2021-01-26T00:00:00.0000000Z,1.0001,1.0017,0.9991,1.0012,75175709.98439471,43869
2021-01-27T00:00:00.0000000Z,1.0011,1.0023,0.999,1.0018,78902216.50451776,46898
2021-01-28T00:00:00.0000000Z,1.0018,1.0057,1.0002,1.0027,98249515.95055841,42109
2021-01-29T00:00:00.0000000Z,1.0027,1.005,0.9997,1.0004,108773655.5435919,59621
2021-01-30T00:00:00.0000000Z,1.0004,1.003,0.9996,1.001,40059778.66772009,35550
2021-01-31T00:00:00.0000000Z,1.0011,1.0012,1.0002,1.0008,37032642.56887822,30215
2021-02-01T00:00:00.0000000Z,1.0008,1.0015,0.9983,1.0003,87672610.94390471,54117
2021-02-02T00:00:00.0000000Z,1.0003,1.0012,0.9998,1.0008,61851639.22211662,45427
2021-02-03T00:00:00.0000000Z,1.0009,1.0019,1.0001,1.0014,77980534.82885058,63790
2021-02-04T00:00:00.0000000Z,1.0014,1.005,1.0003,1.0011,71381213.78481065,53445
2021-02-05T00:00:00.0000000Z,1.0012,1.0018,1.0,1.0008,73696928.12310043,42818
2021-02-06T00:00:00.0000000Z,1.0008,1.0024,1.0003,1.0015,45143913.52634739,43282
2021-02-07T00:00:00.0000000Z,1.0015,1.0022,1.0004,1.0017,58532485.20390562,52241
2021-02-08T00:00:00.0000000Z,1.0018,1.0041,1.0003,1.0012,112996627.00078668,79675
2021-02-09T00:00:00.0000000Z,1.0013,1.0024,1.0,1.0015,77026903.59487867,56810
2021-02-10T00:00:00.0000000Z,1.0014,1.0034,1.0001,1.0008,87140959.64535893,68335
2021-02-11T00:00:00.0000000Z,1.0008,1.003,1.0001,1.0004,95826136.0044618,69108
2021-02-12T00:00:00.0000000Z,1.0003,1.0025,1.0,1.0022,93970627.59759317,67347
2021-02-13T00:00:00.0000000Z,1.0022,1.0023,1.0003,1.0013,51012173.61475171,69255
2021-02-14T00:00:00.0000000Z,1.0013,1.0019,1.0,1.0012,62444476.85854341,47845
2021-02-15T00:00:00.0000000Z,1.0012,1.003,1.0,1.0003,102216065.11158277,82726
2021-02-16T00:00:00.0000000Z,1.0003,1.0015,0.9993,1.0002,74156836.05466369,51619
2021-02-17T00:00:00.0000000Z,1.0002,1.0011,0.9996,1.0009,76461758.56623322,38024
2021-02-18T00:00:00.0000000Z,1.0008,1.0009,0.9992,1.0002,87257559.01250474,50035
2021-02-19T00:00:00.0000000Z,1.0002,1.0009,0.9989,1.0007,75980752.15486656,56241
2021-02-20T00:00:00.0000000Z,1.0006,1.0018,0.9996,1.0008,81149571.91555732,68840
2021-02-21T00:00:00.0000000Z,1.0008,1.0012,0.9999,1.0012,39465831.62332504,35404
2021-02-22T00:00:00.0000000Z,1.0011,1.0022,0.9982,1.0007,127044773.12832554,89943
2021-02-23T00:00:00.0000000Z,1.0008,1.003,0.998,1.0003,177513042.39829177,107401
2021-02-24T00:00:00.0000000Z,1.0003,1.003,0.9998,1.001,152572282.03010264,92315
2021-02-25T00:00:00.0000000Z,1.0009,1.0019,0.9997,1.0,110774737.69296204,53721
2021-02-26T00:00:00.0000000Z,1.0001,1.001,0.9992,1.0001,144769723.66941378,62210
2021-02-27T00:00:00.0000000Z,1.0001,1.0013,0.9991,1.001,56006844.63409855,31143
2021-02-28T00:00:00.0000000Z,1.001,1.0024,1.0,1.0016,52313509.19362244,31730
2021-03-01T00:00:00.0000000Z,1.0016,1.0024,1.0,1.0007,98239540.74340637,42394
2021-03-02T00:00:00.0000000Z,1.0007,1.0018,1.0001,1.001,133906454.1056678,65036
2021-03-03T00:00:00.0000000Z,1.001,1.0011,1.0,1.0003,71128017.72739485,30787
2021-03-04T00:00:00.0000000Z,1.0004,1.0009,0.999,0.9998,99110668.93407167,60487
2021-03-05T00:00:00.0000000Z,0.9998,1.0008,0.9987,1.0004,87540540.96138304,52397
2021-03-06T00:00:00.0000000Z,1.0004,1.0006,0.9991,1.0005,60534518.12987942,27462
2021-03-07T00:00:00.0000000Z,1.0005,1.0008,0.9998,1.0003,55722375.28732473,29689
2021-03-08T00:00:00.0000000Z,1.0003,1.0008,0.9993,1.0005,98039715.48592912,49819
2021-03-09T00:00:00.0000000Z,1.0003,1.0008,0.9999,1.0006,100391462.51818874,67845
2021-03-10T00:00:00.0000000Z,1.0005,1.0008,0.9998,1.0002,112892439.01442374,60050
2021-03-11T00:00:00.0000000Z,1.0002,1.0005,0.9994,1.0003,113709640.79928999,60806
2021-03-12T00:00:00.0000000Z,1.0003,1.0004,0.9995,1.0,85880607.17270352,47361
2021-03-13T00:00:00.0000000Z,1.0,1.0002,0.998,0.9996,109741602.49689557,60880
2021-03-14T00:00:00.0000000Z,0.9997,1.0004,0.9993,1.0,61730498.56469566,40987
2021-03-15T00:00:00.0000000Z,1.0001,1.0009,0.9975,1.0001,145453892.33723512,88933
2021-03-16T00:00:00.0000000Z,1.0001,1.0004,0.999,1.0002,139031389.2844528,78971
2021-03-17T00:00:00.0000000Z,1.0002,1.0011,0.9999,1.0,144765045.6681283,102516
2021-03-18T00:00:00.0000000Z,1.0,1.0002,0.9965,0.9999,115528463.61525257,57317
2021-03-19T00:00:00.0000000Z,0.9999,1.0003,0.9995,1.0001,86989039.55213834,42917
2021-03-20T00:00:00.0000000Z,1.0001,1.0005,0.9999,1.0,66242685.40889076,33824
2021-03-21T00:00:00.0000000Z,1.0001,1.0009,0.9999,1.0004,55254858.21612051,30221
2021-03-22T00:00:00.0000000Z,1.0004,1.0008,0.9997,1.0004,152451616.79694545,96330
2021-03-23T00:00:00.0000000Z,1.0004,1.0008,0.9995,1.0,177508137.69052562,97182
2021-03-24T00:00:00.0000000Z,1.0,1.0003,0.999,0.9999,113698476.79732779,74932
2021-03-25T00:00:00.0000000Z,0.9999,1.0006,0.9993,1.0002,110635844.90574747,66058
2021-03-26T00:00:00.0000000Z,1.0002,1.0012,1.0,1.0006,90231085.78382364,64791
2021-03-27T00:00:00.0000000Z,1.0005,1.0008,0.9999,1.0002,74048203.94751944,38310
2021-03-28T00:00:00.0000000Z,1.0002,1.0003,0.9994,0.9997,70263903.42313476,33610
2021-03-29T00:00:00.0000000Z,0.9998,1.0004,0.9993,0.9998,116245770.51059002,58239
2021-03-30T00:00:00.0000000Z,0.9999,1.002,0.9993,1.0003,108326271.87318845,58996
2021-03-31T00:00:00.0000000Z,1.0003,1.0007,0.9995,1.0004,128013803.98068552,82696
2021-04-01T00:00:00.0000000Z,1.0003,1.0006,0.9992,0.9997,144613529.96194032,68842
2021-04-02T00:00:00.0000000Z,0.9997,1.0003,0.9989,1.0001,77173511.55593482,39034
2021-04-03T00:00:00.0000000Z,1.0002,1.0004,0.9997,1.0004,45726983.84914188,25439
2021-04-04T00:00:00.0000000Z,1.0004,1.0005,1.0,1.0003,32957194.01375987,19571
2021-04-05T00:00:00.0000000Z,1.0001,1.0005,0.9996,1.0,95268445.16305578,54474
2021-04-06T00:00:00.0000000Z,1.0,1.004,0.9992,1.0002,108135351.54808758,66960
2021-04-07T00:00:00.0000000Z,1.0002,1.0007,0.9993,0.9998,157610778.98421317,94650
2021-04-08T00:00:00.0000000Z,0.9998,1.0003,0.9994,0.9998,142322267.77856892,87257
2021-04-09T00:00:00.0000000Z,0.9999,1.0017,0.9996,0.9996,113183567.11350442,56999
2021-04-10T00:00:00.0000000Z,0.9996,0.9999,0.9994,0.9995,7239738.44039067,3405
2021-04-11T00:00:00.0000000Z,0.9995,0.9996,0.9989,0.9993,40435024.64318122,28032
2021-04-12T00:00:00.0000000Z,0.9992,1.0001,0.9989,0.9996,170950693.5492022,100013
2021-04-13T00:00:00.0000000Z,0.9996,1.0009,0.9993,1.0001,155269381.72487128,83763
2021-04-14T00:00:00.0000000Z,1.0002,1.0012,0.9994,1.0001,199740589.84027025,94275
2021-04-15T00:00:00.0000000Z,1.0001,1.0016,0.9999,1.0009,132788775.7565779,63089
2021-04-16T00:00:00.0000000Z,1.001,1.0027,1.0002,1.0013,315286470.3072705,146525
2021-04-17T00:00:00.0000000Z,1.0013,1.0014,1.0003,1.001,126447615.90627004,65576
2021-04-19T00:00:00.0000000Z,1.0019,1.0028,1.0007,1.0013,260715450.65453947,114729
2021-04-20T00:00:00.0000000Z,1.001,1.0023,1.0006,1.0011,235292856.37246948,100193
2021-04-21T00:00:00.0000000Z,1.001,1.0013,1.0,1.0003,149693563.41168392,83861
2021-04-22T00:00:00.0000000Z,1.0004,1.0008,0.9995,1.0002,209135847.08334333,91103
2021-04-23T00:00:00.0000000Z,1.0003,1.0019,0.9995,1.001,296919934.5446029,154566
2021-04-24T00:00:00.0000000Z,1.001,1.0013,1.0007,1.0009,57621118.62089454,22952
2021-04-25T00:00:00.0000000Z,1.0013,1.0013,1.0002,1.0011,61826153.00169222,24687
2021-04-26T00:00:00.0000000Z,1.0011,1.0017,1.0005,1.0007,169522408.77168712,89353
2021-04-27T00:00:00.0000000Z,1.0008,1.0017,1.0007,1.0011,132133258.50830577,70898
2021-04-28T00:00:00.0000000Z,1.0011,1.0025,1.0005,1.0009,130322150.2829316,57142
2021-04-29T00:00:00.0000000Z,1.0009,1.0012,1.0001,1.0005,119443123.03527759,60626
2021-04-30T00:00:00.0000000Z,1.0005,1.0012,1.0004,1.0011,94502577.45300913,42644
2021-05-01T00:00:00.0000000Z,1.0011,1.0013,1.0004,1.001,82665694.16511057,25601
2021-05-02T00:00:00.0000000Z,1.001,1.0011,1.0,1.0007,37176729.60700863,21847
2021-05-03T00:00:00.0000000Z,1.0007,1.001,1.0001,1.0009,117100884.14863862,60872
2021-05-04T00:00:00.0000000Z,1.0009,1.0012,1.0,1.0005,234108135.25248516,79547
2021-05-05T00:00:00.0000000Z,1.0005,1.0018,0.9997,1.0011,274526496.82431513,97633
2021-05-06T00:00:00.0000000Z,1.0011,1.0017,1.0005,1.0006,232785107.97726065,86916
2021-05-07T00:00:00.0000000Z,1.0006,1.0015,1.0002,1.0009,184332767.79049486,78509
2021-05-08T00:00:00.0000000Z,1.0009,1.006,1.0008,1.0014,140360156.1279434,39385
2021-05-09T00:00:00.0000000Z,1.0015,1.0023,0.9994,1.001,169000009.09714997,48992
2021-05-10T00:00:00.0000000Z,1.001,1.0059,1.0002,1.001,276655641.2124777,111942
2021-05-11T00:00:00.0000000Z,1.001,1.0016,1.0005,1.0011,158827510.27826872,63454
2021-05-12T00:00:00.0000000Z,1.0014,1.0071,0.9997,0.9997,238082811.34973827,83749
2021-05-13T00:00:00.0000000Z,0.9999,1.0024,0.9997,1.0002,264013525.4244428,93428
2021-05-14T00:00:00.0000000Z,1.0002,1.002,1.0001,1.0009,277189303.39628017,107325
2021-05-15T00:00:00.0000000Z,1.001,1.0013,1.0004,1.0004,107212138.65935688,37289
2021-05-16T00:00:00.0000000Z,1.0004,1.0009,0.9997,1.0006,132025425.03591657,42404
2021-05-17T00:00:00.0000000Z,1.0006,1.0013,0.9997,1.0005,270920038.7866844,104614
2021-05-18T00:00:00.0000000Z,1.0006,1.0015,1.0001,1.0006,200782458.25924358,81071
2021-05-19T00:00:00.0000000Z,1.0007,1.0056,0.9987,1.0021,448485519.22075695,124873
2021-05-20T00:00:00.0000000Z,1.002,1.0028,1.001,1.002,394032177.55679876,133826
2021-05-21T00:00:00.0000000Z,1.002,1.003,1.0006,1.0016,293405494.68688107,111111
2021-05-22T00:00:00.0000000Z,1.0016,1.0018,1.0005,1.0008,102992956.88089317,43486
2021-05-23T00:00:00.0000000Z,1.0009,1.002,1.0002,1.0015,245614556.7851996,77418
2021-05-24T00:00:00.0000000Z,1.0015,1.002,1.0009,1.0013,191137645.53755206,54647
2021-05-25T00:00:00.0000000Z,1.0013,1.0021,1.0008,1.0011,234087443.56468412,105863
2021-05-26T00:00:00.0000000Z,1.0011,1.0018,1.0009,1.0015,207203625.8750808,86885
2021-05-27T00:00:00.0000000Z,1.0015,1.0018,1.0007,1.001,156882586.0569216,78551
2021-05-28T00:00:00.0000000Z,1.001,1.0014,1.0001,1.0004,253815689.8290958,107386
2021-05-29T00:00:00.0000000Z,1.0005,1.0009,1.0001,1.0007,120098807.21751894,61328
2021-05-30T00:00:00.0000000Z,1.0007,1.0009,1.0003,1.0006,115548223.72461985,54955
2021-05-31T00:00:00.0000000Z,1.0005,1.0011,1.0001,1.0003,181721334.84422183,87810
2021-06-01T00:00:00.0000000Z,1.0003,1.0005,0.9997,0.9998,179680748.9386547,91467
2021-06-02T00:00:00.0000000Z,0.9998,1.0005,0.9996,1.0,188879981.53484774,77253
2021-06-03T00:00:00.0000000Z,1.0,1.0007,0.9998,1.0002,148218015.68604863,67110
2021-06-04T00:00:00.0000000Z,1.0002,1.001,1.0,1.0005,149960041.58589005,79485
2021-06-05T00:00:00.0000000Z,1.0005,1.0008,0.9999,1.0004,91495102.10279246,39992
2021-06-06T00:00:00.0000000Z,1.0004,1.0006,1.0002,1.0003,49364369.06523214,23401
2021-06-07T00:00:00.0000000Z,1.0003,1.0008,0.9999,1.0003,159930871.12171105,64025
2021-06-08T00:00:00.0000000Z,1.0003,1.0011,1.0001,1.0008,174072229.54776195,100785
2021-06-09T00:00:00.0000000Z,1.0007,1.0011,1.0003,1.0005,190946501.32994753,75124
2021-06-10T00:00:00.0000000Z,1.0005,1.0011,1.0002,1.0004,125079592.04140808,63566
2021-06-11T00:00:00.0000000Z,1.0003,1.0008,0.9999,1.0,113770868.68242598,46303
2021-06-12T00:00:00.0000000Z,1.0,1.0004,1.0,1.0002,72521976.25057791,39628
